Question Number,Question Status,Question Type,Mandate,Subject,Unit,Panel,Food Sector Area,Deadline,Deadline Type,Acceptance Date,Adoption Date,Clock stop date,Clock start date,Difference (EFSA working days)
EFSA-Q-2015-00508,-,Art 29 – Scientific opinion,M-2015-0130,Maximum copper content in complete feed Support to FEED,Not Yet Assigned,-,Feed additives - others,01/07/2016,-,-,-,-,-,-
EFSA-Q-2015-00507,In progress,Art 31 – Scientific and technical assistance,M-2015-0092,"•	Request for scientific and technical assistance to evaluate applications of Member States to be recognised as having a negligible risk of classical scrapie - support to Biocontam",Assessment and methodological support,-,TSE,30/10/2015,-,-,-,-,-,-
EFSA-Q-2015-00506,-,Art 33 – Data collection,M-2015-0079,"Support to AHAW on avian influenza (HPAI) extensive literature search protol, data collection and modelling",Assessment and methodological support,-,-,31/12/2015,-,-,-,-,-,-
EFSA-Q-2015-00505,In progress,Procurement,M-2014-0011,Systematic review on L. monocytogenes in a wide range of RTE foods. RA review questions in microbial risk assessment - follow-up contract,Biological hazards and contaminants,-,Foodborne zoonosis,-,Negotiated Deadline,02/07/2015,-,-,-,-
EFSA-Q-2015-00504,Registration not yet completed,Assistance,M-2014-0106,"Code of good administrative practices during the evaluation of regulated products, substances, claims organisms and processes",Applications Desk,-,Other areas,-,Without deadline,-,-,-,-,-
EFSA-Q-2015-00503,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Proquinazid - Modification of existing MRLs in currants and gooseberries.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00502,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Flonicamid - Modification MRLs in herbs.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00501,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,"beta-Cyfluthrin - Setting new MRLs in barley, oats, rye and wheat (spelt, triticale).",Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00500,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Fosetyl - Modification MRLs in celeriac and fennel.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00499,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Penthiopyrad - Modification of existing MRLs in apricots and peaches.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00498,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Penthiopyrad - Modification of existing MRLs in barley and oats.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00497,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Ethiprole - Setting new MRLs in rice.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00496,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Fosetyl - Modification of existing MRLs in table grapes and wine grapes.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00495,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Trifloxystrobin - Modification of existing MRLs in celeriac.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00494,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Aminocyclopyrachlor -  Setting of import tolerance in products of animal origin.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00493,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Fludioxonil - Setting import tolerance of existing MRLs in pineapples .,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00492,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Azoxystrobin - Modification of existing MRLs in table grapes and wine grapes.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00491,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Bromoxynil- Modification of existing MRLs in chives.,Not Yet Assigned,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00490,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Prohexadione-calcium - Setting import tolerance of existing MRLs in cherries .,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00489,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2009-0033,Ametoctradin - Modification of existing MRLs in spring onions.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00488,Under Consideration,Application,M-2015-0182,"0439_IT - Art. 13.5 Claim, Reg.(EC) No 1924/2006 - Consumption of Lactobacillus rhamnosus GG (ATCC
53103) and fructooligosaccharides (FOS) helps to reduce Herpes labialis recurrence",Nutrition,NDA,Health claims Art. 13/5,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00487,-,-,M-2012-0057,procurement RC EFSA/AMU/2015/01 New trainings on extensive literature search,Assessment and methodological support,-,-,-,-,-,-,-,-,-
EFSA-Q-2015-00486,In progress,Art 31 – Scientific and technical assistance,M-2015-0181,New studies on laboratory rodent diets,Scientific Committee & Emerging Risks,-,Emerging risks,30/09/2015,Negotiated Deadline,11/08/2015,-,-,-,-
EFSA-Q-2015-00485,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Sulfoxaflor  – Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),18/08/2016,Legal Deadline,27/07/2015,-,-,-,-
EFSA-Q-2015-00484,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Terpenoid blend QRD 460  – Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),10/08/2016,Legal Deadline,20/07/2015,-,-,-,-
EFSA-Q-2015-00483,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Pepino mosaic virus strain CH2 isolate 1906  – Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),07/08/2016,Legal Deadline,17/07/2015,-,-,-,-
EFSA-Q-2015-00482,Under Consideration,Application,M-2015-0180,"Preparation of 3-phytase (EC 3.1.3.8.) produced by Pichia pastoris (strain ATCC 76273/CBS 7435/ CECT 11047) for chickens for fattening, Laying hens",FEED,FEEDAP,Feed additives - applications under 1831/2003,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00481,In progress,Procurement,M-2015-0172,Request for scientific and technical assistance to organise an open call for data for new scientific information as regards the risk from the active substance fipronil to bees in accordance with Article 21 of Regulation (EC) No 1107/2009 and in the context of Article 31 of Regulation (EC) No 178/2002,Pesticides,-,Pesticides,-,Negotiated Deadline,28/08/2015,-,-,-,-
EFSA-Q-2015-00480,Under Consideration,Application,M-2015-0179,Request for safety evaluation of Coopbox recycling process to produce recycled plastic for food contact uses,Food Ingredients and Packaging,CEF,Food contact materials,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00479,Under Consideration,Application,M-2012-0276,Pesticide risk assessment and peer review of aluminium potassium sulfate dodecahydrate in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval).,Pesticides,-,Pesticides peer review - new active substances,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00478,Under Consideration,Application,M-2012-0276,Pesticide risk assessment and peer review of  chromobacterium subtsugae PRAA4-1T in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval).,Pesticides,-,Pesticides peer review - new active substances,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00477,Registration not yet completed,Art 29 – Scientific opinion,M-2015-0178,"Request to EFSA for a scientific opinion on animal welfare aspects in respect of the slaughter or killing of pregnant livestock animals (cattle, pigs, sheep, goats, horses)",Animal and plant health,-,-,30/11/2016,-,-,-,-,-,-
EFSA-Q-2015-00476,In progress,Art 31 – Scientific and technical assistance,M-2009-0007,Halauxifen-methyl – Review of all existing MRLs,Pesticides,-,Pesticides MRL Review (Reg. 396/2005 - Art. 12.1),05/08/2016,Legal Deadline,17/07/2015,-,-,-,-
EFSA-Q-2015-00475,In progress,Art 31 – Scientific and technical assistance,M-2015-0176,New sequencing information of event GA21 maize,GMO,GMO,GMO generic,30/09/2015,Negotiated Deadline,24/08/2015,-,-,-,-
EFSA-Q-2015-00474,In progress,Art 31 – Scientific and technical assistance,M-2015-0177,Request for scientific advice from EFSA on new scientific information in relation to the risk assessment of genetically modified organisms (formaldehyde),GMO,GMO,GMO generic,31/10/2015,Negotiated Deadline,11/09/2015,-,-,-,-
EFSA-Q-2015-00473,In progress,Art 31 – Scientific and technical assistance,M-2015-0176,New sequencing information of event MIR604 maize,GMO,GMO,GMO generic,30/09/2015,Negotiated Deadline,24/08/2015,-,-,-,-
EFSA-Q-2015-00472,Finished,Art 31 – Scientific and technical assistance,M-2015-0166,Public comments on application for authorisation of genetically modified maize MON 87427 submitted under Regulation (EC) No 1829/2003 (EFSA-GMO-BE-2012-110),GMO,GMO,GMO generic,28/08/2015,Negotiated Deadline,04/08/2015,28/08/2015,-,-,-
EFSA-Q-2015-00471,Registration not yet completed,Art 31 – Scientific and technical assistance,M-2015-0175,Public comments on application for authorisation of genetically modified soybean MON 87708 x MON 89788  submitted under Regulation (EC) No 1829/2003 (EFSA-GMO-NL-2012-108),GMO,GMO,GMO generic,11/09/2015,Negotiated Deadline,-,-,-,-,-
EFSA-Q-2015-00470,In progress,Procurement,M-2014-0162,Data collection from open literature and “draft assessment reports” on pesticides biomonitoring in occupational setting to refine exposure estimation and collect pesticides exposure levels in EU/US workers to better understand relationship between health effects as provided by the epidemiological studies and exposure. OC/EFSA/PRAS/2015/06,Pesticides,-,Pesticides,-,Legal Deadline,13/08/2015,-,-,-,-
EFSA-Q-2015-00469,Under Consideration,Application,M-2015-0174,Request for a scientific opinion on Alginate-Konjac-Xanthan Polysaccharide Complex (PGX) as a novel food ingredient,Nutrition,NDA,Novel Foods,-,Negotiated Deadline,-,-,-,-,-
EFSA-Q-2015-00468,In progress,Art 29 – Scientific opinion,M-2015-0173,Self-Tasking mandate proposed to EFSA by the CEF Panel for a scientific statement on the refinement of exposure estimates for food enzymes,Food Ingredients and Packaging,CEF,Enzymes,29/02/2016,Negotiated Deadline,10/08/2015,-,-,-,-
EFSA-Q-2015-00467,In progress,Application,M-2015-0015,Request for an EFSA conclusion on confirmatory data concerning the risk assessment of pyridaben,Pesticides,-,Pesticides peer review - confirmatory data,31/01/2016,Legal Deadline,13/08/2015,-,-,-,-
EFSA-Q-2015-00466,In progress,Assistance,M-2012-0308,Info Sessions on Applications - FIP - Technical meeting with Stakeholders on Food Enzymes applications,Applications Desk,-,Enzymes,-,Without deadline,24/08/2015,-,-,-,-
EFSA-Q-2015-00465,In progress,Assistance,M-2011-0160,Support to FIP on re-evaluation of E220-28 Sulphites,Evidence management,-,Food additives,31/12/2015,Negotiated Deadline,04/08/2015,-,-,-,-
EFSA-Q-2015-00464,In progress,Assistance,M-2011-0160,Support to FIP on re-evaluation of E315-16 Erythorbates,Evidence management,-,Food additives,31/12/2015,Negotiated Deadline,04/08/2015,-,-,-,-
EFSA-Q-2015-00463,In progress,Assistance,M-2011-0160,"Support to FIP on re-evaluation of food colours-E160b Annatto, bin, norbixin",Evidence management,-,Food additives,31/12/2015,Negotiated Deadline,04/08/2015,-,-,-,-
EFSA-Q-2015-00462,In progress,Assistance,M-2013-0248,Support to FIP on refined exposure assessment of E319 tertiary-butyl hydroquinone (TBHQ),Evidence management,-,Food additives,31/12/2015,Negotiated Deadline,04/08/2015,-,-,-,-
EFSA-Q-2015-00461,Under Consideration,Application,M-2015-0169,Request for EFSA's scientific opinion regarding a proposed amendment of the specifications of the food additive Monosodium phosphate (E 339 i),Food Ingredients and Packaging,ANS,Food additives,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00460,Under Consideration,Application,M-2015-0168,Request for EFSA to perform a risk assessment and to provide a scientific opinion on the safety in use of Trimagnesium dicitrate anhydrous (TMDC) as a food additive,Food Ingredients and Packaging,ANS,Food additives,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00459,Finished,Art 31 – Scientific and technical assistance,M-2013-0119,Fatal human case of Bacillus anthracis infection and bovine meat contamination in Bulgaria,Biological hazards and contaminants,-,Foodborne zoonosis,06/08/2015,Negotiated Deadline,28/07/2015,05/08/2015,-,-,-
EFSA-Q-2015-00458,Under Consideration,Application,M-2012-0276,"Pesticide risk assessment and peer review of 1,3-dichloropropene in accordance with Article 12 of Regulation (EC) No 1107/2009 (application for approval).",Pesticides,-,Pesticides peer review - new active substances,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00457,In progress,Application,M-2015-0167,Request for EFSA to finalise the reporting table for the basic substance diammonium phosphate in accordance with Article 23 of Regulation (EC) No 1107/2009,Pesticides,-,Pesticides,30/10/2015,Legal Deadline,04/08/2015,-,-,-,-
EFSA-Q-2015-00456,In progress,Application,M-2015-0165,"0438_UK - Art. 13.5 Claim, Reg.(EC) No 1924/2006 - DHA contributes to improved memory function",Nutrition,NDA,Health claims Art. 13/5,15/02/2016,Legal Deadline,15/09/2015,-,-,-,-
EFSA-Q-2015-00455,In progress,Art 31 – Scientific and technical assistance,M-2015-0163,Baseline survey of Norovirus in oysters,Assessment and methodological support,-,Data collection and analysis,18/12/2015,Negotiated Deadline,07/08/2015,-,-,-,-
EFSA-Q-2015-00454,Waiting for full dossier,Application,M-2015-0162,Request for EFSA to perform a scientific risk assessment on the food enzyme: Cellulase from a GM strain of T. reesei (DP-Nzc36),Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,-,-,-,-,-
EFSA-Q-2015-00453,In progress,Application,M-2015-0162,"Request for EFSA to perform a scientific risk assessment on the food enzyme: Rennet paste from abomasum of goat (Capra aegagrus hircus), sheep (Ovis aries)and cattle (Bos primigenius)",Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,10/09/2015,-,-,-,-
EFSA-Q-2015-00452,Waiting for full dossier,Application,M-2015-0162,Request for EFSA to perform a scientific risk assessment on the food enzyme: Rhizopuspepsin from R.niveus (AE-N),Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,-,-,-,-,-
EFSA-Q-2015-00451,Waiting for full dossier,Application,M-2015-0162,Request for EFSA to perform a scientific risk assessment on the food enzyme: Pullulanase from P. naganoensis (AE-PL),Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,-,-,-,-,-
EFSA-Q-2015-00450,Waiting for full dossier,Application,M-2015-0162,Request for EFSA to perform a scientific risk assessment on the food enzymes: Pullulanase from K. pneumoniae (AE-PUL),Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,-,-,-,-,-
EFSA-Q-2015-00449,Waiting for full dossier,Application,M-2015-0161,Request for EFSA to perform a scientific risk assessment on the food enzyme: Catalase from A. niger (AE-CN),Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,-,-,-,-,-
EFSA-Q-2015-00448,Waiting for full dossier,Application,M-2015-0161,"Request for EFSA to perform a scientific risk assessment on the food enzyme: Glucan 1,4-alpha-maltotetraohydrolase from a GM strain of B. licheniformis (DP-Dzf24)",Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,-,-,-,-,-
EFSA-Q-2015-00447,In progress,Application,M-2015-0161,Request for EFSA to perform a scientific risk assessment on the food enzyme: Triacylglycerol Lipase from a GM strain of A.niger agg. (FL100SC),Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,03/09/2015,-,-,-,-
EFSA-Q-2015-00446,In progress,Application,M-2015-0161,Request for EFSA to perform a scientific risk assessment on the food enzyme: Maltogenic amylase from a GM strain of E. coli (BLASC),Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,03/09/2015,-,-,-,-
EFSA-Q-2015-00445,Under Consideration,Application,M-2015-0161,Request for EFSA to perform a scientific risk assessment on the food enzyme: Carboxypeptidase C from a GM strain of A.niger (PEG),Food Ingredients and Packaging,CEF,Enzymes,-,Without deadline,-,-,-,-,-
EFSA-Q-2015-00444,Waiting for full dossier,Application,M-2015-0160,Request for the evaluation of Pokas Arcadian recycle Ltd recycling process for Polypropylene (PP) and High Density Polyethylene (HDPE) for food contact application,Food Ingredients and Packaging,CEF,Food contact materials,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00443,Under Consideration,Application,M-2015-0159,Request for the evaluation of Genox® EP for inclusion in Annex I of Regulation 10/2011 as an additive for use in plastics,Food Ingredients and Packaging,CEF,Food contact materials,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00442,In progress,Public consultation,M-2014-0033,Public consultation of the opinion on the welfare assessment of dairy cows in small scale farming systems,Animal and plant health,-,Animal welfare,30/09/2015,Negotiated Deadline,12/03/2014,-,-,-,-
EFSA-Q-2015-00441,Finished,Application,M-2015-0015,Request for EFSA to finalise the reporting table on confirmatory data concerning the risk assessment of pyridalyl,Pesticides,-,Pesticides peer review - confirmatory data,13/08/2015,Legal Deadline,16/07/2015,11/08/2015,-,-,-
EFSA-Q-2015-00440,Under Consideration,Application,M-2015-0158,Clopidol for chickens for fattening,FEED,FEEDAP,Feed additives - applications under 1831/2003,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00439,In progress,Public consultation,M-2012-0252,"Public consultation on the draft EFSA Guidance Document for predicting environmental concentrations of active substances of plant protection products and transformation products of these active substances in soil, including PECs in soil for permanent crops and crops grown on ridges.",Pesticides,-,Pesticides,31/12/2017,Negotiated Deadline,17/06/2015,-,-,-,-
EFSA-Q-2015-00438,In progress,Public consultation,M-2012-0252,"EFSA Guidance Document for predicting environmental concentrations of active substances of plant protection products and transformation products of these active substances in soil, including PECs in soil for permanent crops and crops grown on ridges",Pesticides,-,Pesticides,31/12/2017,Negotiated Deadline,17/06/2015,-,-,-,-
EFSA-Q-2015-00437,In progress,Application,M-2015-0157,"0437_AT - Art. 13.5 Claim, Reg.(EC) No 1924/2006 - Creatine contributes to the maintenance of muscle function in the elderly",Nutrition,NDA,Health claims Art. 13/5,27/01/2016,Legal Deadline,27/08/2015,-,-,-,-
EFSA-Q-2015-00436,Finished,Procurement,M-2014-0033,"PROCUREMENT: Description and interpretation of submitted data and subsequent analysis
obtained from the preparatory work for the scientific opinion on welfare
assessment of dairy cows in small scale farming systems (NP/EFSA/ALPHA/2014/14)",Animal and plant health,-,Animal welfare,11/09/2015,Legal Deadline,03/06/2014,24/07/2015,-,-,-
EFSA-Q-2015-00435,Registration not yet completed,Art 29 – Scientific opinion,M-2015-0130,Maximum copper content in complete feed,FEED,-,Feed additives - others,01/07/2016,Negotiated Deadline,-,-,-,-,-
EFSA-Q-2015-00434,In progress,Application,M-2015-0156,Request for the evaluation of an additive: ?-Tocopherol acetate (CAS Reg. No 7695-91-2 and 58-95-7),Food Ingredients and Packaging,CEF,Food contact materials,25/02/2016,Legal Deadline,25/08/2015,-,-,-,-
EFSA-Q-2015-00433,In progress,Art 29 – Scientific opinion,M-2015-0155,Mandate to develop guidelines on possible derogation of existing requirements for applications of genetically modified (GM) food and feed at low levels submitted under Regulation (EC) No 1829/2003 on GM food and feed,GMO,-,GMO generic,31/07/2016,Negotiated Deadline,10/07/2015,-,-,-,-
EFSA-Q-2015-00432,In progress,Art 29 – Scientific opinion,M-2015-0154,Request to assess the revised maize MON 810 PMEM report for the 2013 cultivation season provided by Monsanto,GMO,-,GMO generic,31/10/2015,Negotiated Deadline,28/07/2015,-,-,-,-
EFSA-Q-2015-00431,Finished,Art 29 – Scientific opinion,M-2014-0078,Examination of additional information regarding the use of carbon dioxide for stunning rabbits,Animal and plant health,AHAW,Animal welfare,03/08/2015,Legal Deadline,10/07/2015,31/07/2015,-,-,-
EFSA-Q-2015-00430,Waiting for full dossier,Application,M-2015-0152,Application for authorisation of genetically modified maize MON 87403 submitted in accordance with Regulation (EC) No 1829/2003 by Monsanto Europe S.A./N.V  (EFSA-GMO-BE-2015-125),GMO,GMO,GMOs applications under Reg. 1829/2003,-,-,-,-,-,-,-
EFSA-Q-2015-00429,Under Consideration,Application,M-2015-0151,Lactobacillus acidophilus D2/CSL (CECT 4529) for chickens for fattening,FEED,FEEDAP,Feed additives - applications under 1831/2003,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00428,In progress,Application,M-2015-0150,Request for a scientific opinion on the evaluation of the safety and efficacy of Listex P 100 for reduction of pathogens on different ready to eat (RTE) food’,Biological hazards and contaminants,BIOHAZ,Food Hygiene,-,Legal Deadline,09/07/2015,-,-,-,-
EFSA-Q-2015-00427,Under Consideration,Application,M-2015-0149,Request for safety evaluation of ground sunflower seed shells (lignocellulose) for use as additive plastics.,Food Ingredients and Packaging,CEF,Food contact materials,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00426,Finished,Art 29 – Scientific opinion,M-2013-0321,Validation of technical guidelines for hot water treatment of Xylella Fastidiosa (Wells et al.) for the safe movement of Vitis plant propagating material and review of the ANSES (France) opinion on hot water treatment of plant propagating material against Xylella fastidiosa (Well et al.),Animal and plant health,PLH,Plant Health,10/09/2015,Negotiated Deadline,14/07/2015,30/08/2015,-,-,-
EFSA-Q-2015-00425,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,Glyphosate - Modification of existing MRLs in borage seeds.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,21/07/2015,-,23/07/2015,-,-
EFSA-Q-2015-00424,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,Flonicamid - Modification of existing MRLs in various crops.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,21/07/2015,-,23/07/2015,-,-
EFSA-Q-2015-00423,In progress,Art 31 – Scientific and technical assistance,M-2009-0033,Thiacloprid - Modification of existing MRLs in honey (rape),Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),21/01/2016,Legal Deadline,21/07/2015,-,-,-,-
EFSA-Q-2015-00422,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,"Flupyradifurone - Setting of new MRLs in strawberries, blackberries and raspberries.",Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,21/07/2015,-,23/07/2015,-,-
EFSA-Q-2015-00421,In progress,Art 31 – Scientific and technical assistance,M-2009-0033,Propamocarb - Modification of existing MRLs in various crops.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),18/11/2015,Legal Deadline,21/07/2015,-,23/07/2015,03/09/2015,30
EFSA-Q-2015-00420,In progress,Art 31 – Scientific and technical assistance,M-2009-0033,Fluopicolide - Modification of existing MRLs in various crops.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),18/11/2015,Legal Deadline,21/07/2015,-,23/07/2015,03/09/2015,30
EFSA-Q-2015-00419,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,"Clopyralid - Modification of existing MRLs in leek, spring onion and welsh onion.",Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,21/07/2015,-,23/07/2015,-,-
EFSA-Q-2015-00418,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,Metrafenone - Modification of existing MRLs in globe artichoke,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,21/07/2015,-,23/07/2015,-,-
EFSA-Q-2015-00417,In progress,Art 31 – Scientific and technical assistance,M-2009-0033,Tebuconazole - Modification of the existing MRLs in rye and wheat (triticale).,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),21/10/2015,Legal Deadline,21/07/2015,-,-,-,-
EFSA-Q-2015-00416,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,Prothioconazole - Setting new MRLs in sunflower seed.,Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,21/07/2015,-,23/07/2015,-,-
EFSA-Q-2015-00415,Additional data request,Art 31 – Scientific and technical assistance,M-2009-0033,"Fluopyram - Setting new MRLs in sweet corn, sunflower seed, rape seed, barley and oats.",Pesticides,-,Pesticides MRL Application (Reg. 396/2005 - Art. 10),-,Clock stopped,21/07/2015,-,23/07/2015,-,-
EFSA-Q-2015-00414,Waiting for full dossier,Application,M-2015-0148,Request for the evaluation of poly((R)-3-hydroxybutyrate-co-(R)-3-hydroxyhexanoate).,Food Ingredients and Packaging,CEF,Food contact materials,-,Legal Deadline,-,-,-,-,-
